"","height.cm","height.in","bYear","dataset"
"109",169.619995117188,66.779525636688,1850,"GC"
"110",166.190002441406,65.4291348194513,1850,"GC"
"111",172.050003051758,67.7362216739204,1850,"GC"
"112",177.770004272461,69.9881906584492,1850,"GC"
"113",155.669998168945,61.2874008539155,1850,"GC"
"114",158.100006103516,62.2440968911479,1850,"GC"
"115",165.389999389648,65.1141729880506,1850,"GC"
"116",162.960006713867,64.1574829582154,1850,"GC"
"117",156.270004272461,61.5236237293153,1850,"GC"
"118",170.850006103516,67.263781930518,1850,"GC"
"119",175.339996337891,69.0314946212168,1850,"GC"
"120",160.929992675781,63.3582648329847,1850,"GC"
"121",171.25,67.4212598425197,1850,"GC"
"122",158.899993896484,62.5590527151513,1850,"GC"
"123",167.589996337891,65.9803135188546,1850,"GC"
"124",166.990005493164,65.744096650852,1850,"GC"
